district,province,year,flooded,risk_score
Hattian Bala,AJK,2013,0,0.38320613
Jhelum Valley,AJK,2013,0,0.38797802
Islamabad,ICT,2013,0,0.0022458695
Lahore,Punjab,2014,1,0.8935004
Multan,Punjab,2014,1,0.8221975
Faisalabad,Punjab,2014,0,0.009006493
Rawalpindi,Punjab,2014,0,0.005992872
Gujranwala,Punjab,2014,1,0.9014896
Sialkot,Punjab,2014,1,0.9452843
Bahawalpur,Punjab,2014,0,0.22242685
Rahim Yar Khan,Punjab,2014,0,0.03856637
DG Khan,Punjab,2014,1,0.74688995
Muzaffargarh,Punjab,2014,1,0.90894353
Gujrat,Punjab,2014,1,0.9462965
Sheikhupura,Punjab,2014,1,0.88256174
Sargodha,Punjab,2014,0,0.02419646
Jhang,Punjab,2014,0,0.2963927
Kasur,Punjab,2014,0,0.0931071
Okara,Punjab,2014,0,0.020302422
Sahiwal,Punjab,2014,0,0.004034884
Pakpattan,Punjab,2014,0,0.014935044
Bahawalnagar,Punjab,2014,0,0.103981525
Vehari,Punjab,2014,0,0.26942864
Lodhran,Punjab,2014,0,0.22733705
Khanewal,Punjab,2014,0,0.23000827
Chiniot,Punjab,2014,0,0.027120398
Hafizabad,Punjab,2014,0,0.6932739
Narowal,Punjab,2014,1,0.9358162
Nankana Sahib,Punjab,2014,0,0.07699517
Mandi Bahauddin,Punjab,2014,0,0.09034583
Attock,Punjab,2014,0,0.05755337
Chakwal,Punjab,2014,0,0.007546159
Jhelum,Punjab,2014,0,0.08954005
Khushab,Punjab,2014,0,0.03265878
Bhakkar,Punjab,2014,1,0.7531156
Layyah,Punjab,2014,1,0.71275765
Toba Tek Singh,Punjab,2014,0,0.00395113
Dera Ghazi Khan,Punjab,2014,1,0.74688995
Karachi Central,Sindh,2014,0,0.010600634
Karachi East,Sindh,2014,0,0.0059977514
Karachi West,Sindh,2014,0,0.010600634
Karachi South,Sindh,2014,0,0.0063229753
Malir,Sindh,2014,0,0.0098611815
Hyderabad,Sindh,2014,0,0.015392223
Sukkur,Sindh,2014,0,0.042434596
Larkana,Sindh,2014,0,0.05434648
Thatta,Sindh,2014,0,0.030543664
Dadu,Sindh,2014,0,0.03854007
Jacobabad,Sindh,2014,0,0.031061744
Kashmore,Sindh,2014,0,0.04466676
Kamber,Sindh,2014,0,0.0477957
Shikarpur,Sindh,2014,0,0.014814686
Mirpur Khas,Sindh,2014,0,0.012319362
Sanghar,Sindh,2014,0,0.022898203
Nawabshah,Sindh,2014,0,0.033624575
Naushahro Feroze,Sindh,2014,0,0.036856204
Khairpur,Sindh,2014,0,0.030001488
Ghotki,Sindh,2014,0,0.03342264
Badin,Sindh,2014,0,0.045819562
Tharparkar,Sindh,2014,0,0.01625512
Umerkot,Sindh,2014,0,0.0051674047
Matiari,Sindh,2014,0,0.01235107
Jamshoro,Sindh,2014,0,0.014634773
Sujawal,Sindh,2014,0,0.02301343
Tando Allahyar,Sindh,2014,0,0.0070963847
Tando Muhammad Khan,Sindh,2014,0,0.04073621
Qambar Shahdadkot,Sindh,2014,0,0.043273985
Peshawar,KPK,2014,1,0.7932167
Swat,KPK,2014,0,0.62011766
Nowshera,KPK,2014,1,0.9089004
Charsadda,KPK,2014,1,0.89369404
Dir Upper,KPK,2014,0,0.6037672
Dir Lower,KPK,2014,0,0.3986648
Chitral,KPK,2014,0,0.71769214
Kohistan,KPK,2014,0,0.44200417
Tank,KPK,2014,0,0.2941662
Dera Ismail Khan,KPK,2014,0,0.29919714
Mardan,KPK,2014,1,0.84916544
Abbottabad,KPK,2014,0,0.0077528404
Haripur,KPK,2014,0,0.05517234
Mansehra,KPK,2014,0,0.40634853
Battagram,KPK,2014,0,0.5276356
Shangla,KPK,2014,0,0.40871632
Buner,KPK,2014,0,0.21154511
Malakand,KPK,2014,0,0.33653158
Hangu,KPK,2014,0,0.010441893
Karak,KPK,2014,0,0.009722578
Kohat,KPK,2014,0,0.033203274
Lakki Marwat,KPK,2014,0,0.22304167
Bannu,KPK,2014,0,0.05651356
Kurram,KPK,2014,0,0.003761191
Orakzai,KPK,2014,0,0.0025522462
Khyber,KPK,2014,0,0.022511274
Mohmand,KPK,2014,0,0.048543245
Bajaur,KPK,2014,0,0.04786046
South Waziristan,KPK,2014,0,0.0021254525
North Waziristan,KPK,2014,0,0.0069119707
Torghar,KPK,2014,0,0.28266838
Kolai Pallas,KPK,2014,0,0.2886791
Swabi,KPK,2014,1,0.76611525
Tor Ghar,KPK,2014,0,0.009103067
Khyber Tribal,KPK,2014,0,0.022662846
Quetta,Balochistan,2014,0,0.011936289
Naseerabad,Balochistan,2014,0,0.23900029
Jaffarabad,Balochistan,2014,0,0.18138449
Lasbela,Balochistan,2014,0,0.0277532
Kalat,Balochistan,2014,0,0.028002402
Khuzdar,Balochistan,2014,0,0.021414377
Turbat,Balochistan,2014,0,0.26409602
Gwadar,Balochistan,2014,0,0.028925827
Panjgur,Balochistan,2014,0,0.07783772
Chagai,Balochistan,2014,0,0.004096173
Nushki,Balochistan,2014,0,0.0014575884
Kharan,Balochistan,2014,0,0.0018671021
Washuk,Balochistan,2014,0,0.0030683267
Awaran,Balochistan,2014,0,0.1418474
Kech,Balochistan,2014,0,0.248615
Dera Bugti,Balochistan,2014,0,0.037049618
Kohlu,Balochistan,2014,0,0.0011989533
Sibi,Balochistan,2014,0,0.033555623
Ziarat,Balochistan,2014,0,0.0012427878
Pishin,Balochistan,2014,0,0.01067445
Qilla Abdullah,Balochistan,2014,0,0.0014502475
Qilla Saifullah,Balochistan,2014,0,0.0014677458
Loralai,Balochistan,2014,0,0.006347325
Musakhel,Balochistan,2014,0,0.010635076
Barkhan,Balochistan,2014,0,0.007245759
Harnai,Balochistan,2014,0,0.009387791
Sherani,Balochistan,2014,0,0.0014200676
Zhob,Balochistan,2014,0,0.0016447023
Jhal Magsi,Balochistan,2014,0,0.07361965
Khairpur Tamewali,Balochistan,2014,0,0.004666292
Mastung,Balochistan,2014,0,0.011827541
Surab,Balochistan,2014,0,0.0019143724
Lehri,Balochistan,2014,0,0.034360707
Gilgit,GB,2014,0,0.49941584
Skardu,GB,2014,0,0.059893534
Hunza,GB,2014,0,0.602058
Nagar,GB,2014,0,0.07759161
Ghanche,GB,2014,0,0.07559346
Shigar,GB,2014,0,0.004763715
Kharmang,GB,2014,0,0.005960461
Roundu,GB,2014,0,0.27540487
Tangir,GB,2014,0,0.09832936
Darel,GB,2014,0,0.114036776
Diamer,GB,2014,0,0.5995173
Astore,GB,2014,0,0.30443236
Ghizer,GB,2014,0,0.3209804
Gupis Yasin,GB,2014,0,0.1515605
Muzaffarabad,AJK,2014,1,0.9587147
Mirpur,AJK,2014,1,0.83381
Bagh,AJK,2014,1,0.84637946
Rawalakot,AJK,2014,0,0.020014616
Kotli,AJK,2014,1,0.89247936
Neelum,AJK,2014,0,0.9298626
Haveli,AJK,2014,0,0.018240832
Sudhnoti,AJK,2014,0,0.020981189
Hattian Bala,AJK,2014,1,0.8995433
Jhelum Valley,AJK,2014,1,0.8638402
Islamabad,ICT,2014,0,0.005749715
Lahore,Punjab,2015,0,0.12664396
Multan,Punjab,2015,0,0.10998282
Faisalabad,Punjab,2015,0,0.001892106
Rawalpindi,Punjab,2015,0,0.0020474526
Gujranwala,Punjab,2015,0,0.2521727
Sialkot,Punjab,2015,0,0.09878259
Bahawalpur,Punjab,2015,0,0.23749827
Rahim Yar Khan,Punjab,2015,0,0.42225528
DG Khan,Punjab,2015,0,0.414682
Muzaffargarh,Punjab,2015,0,0.42010483
Gujrat,Punjab,2015,0,0.09878259
Sheikhupura,Punjab,2015,0,0.036940847
Sargodha,Punjab,2015,0,0.0017948117
Jhang,Punjab,2015,0,0.046230666
Kasur,Punjab,2015,0,0.003524793
Okara,Punjab,2015,0,0.0011367087
Sahiwal,Punjab,2015,0,0.0014394362
Pakpattan,Punjab,2015,0,0.0012625331
Bahawalnagar,Punjab,2015,0,0.009489137
Vehari,Punjab,2015,0,0.14057596
Lodhran,Punjab,2015,0,0.23101802
Khanewal,Punjab,2015,0,0.029505031
Chiniot,Punjab,2015,0,0.002168833
Hafizabad,Punjab,2015,0,0.02067163
Narowal,Punjab,2015,0,0.050123386
Nankana Sahib,Punjab,2015,0,0.0012818347
Mandi Bahauddin,Punjab,2015,0,0.0063190274
Attock,Punjab,2015,0,0.0025897904
Chakwal,Punjab,2015,0,0.0027967454
Jhelum,Punjab,2015,0,0.0095828995
Khushab,Punjab,2015,0,0.0027365126
Bhakkar,Punjab,2015,0,0.0880237
Layyah,Punjab,2015,0,0.1866213
Toba Tek Singh,Punjab,2015,0,0.0022199051
Dera Ghazi Khan,Punjab,2015,0,0.414682
Karachi Central,Sindh,2015,0,0.009983537
Karachi East,Sindh,2015,0,0.0041135005
Karachi West,Sindh,2015,0,0.009983537
Karachi South,Sindh,2015,0,0.0037256465
Malir,Sindh,2015,0,0.011195738
Hyderabad,Sindh,2015,0,0.023009904
Sukkur,Sindh,2015,0,0.1812161
Larkana,Sindh,2015,0,0.14721671
Thatta,Sindh,2015,0,0.032533873
Dadu,Sindh,2015,0,0.24576093
Jacobabad,Sindh,2015,0,0.048692614
Kashmore,Sindh,2015,0,0.29886162
Kamber,Sindh,2015,0,0.08296646
Shikarpur,Sindh,2015,0,0.012405684
Mirpur Khas,Sindh,2015,0,0.022115868
Sanghar,Sindh,2015,0,0.097907044
Nawabshah,Sindh,2015,0,0.23027487
Naushahro Feroze,Sindh,2015,0,0.04686901
Khairpur,Sindh,2015,0,0.1322271
Ghotki,Sindh,2015,0,0.22659709
Badin,Sindh,2015,0,0.012456825
Tharparkar,Sindh,2015,0,0.016585805
Umerkot,Sindh,2015,0,0.008693408
Matiari,Sindh,2015,0,0.028296107
Jamshoro,Sindh,2015,0,0.020718303
Sujawal,Sindh,2015,0,0.011870581
Tando Allahyar,Sindh,2015,0,0.011859774
Tando Muhammad Khan,Sindh,2015,0,0.012332772
Qambar Shahdadkot,Sindh,2015,0,0.051645793
Peshawar,KPK,2015,0,0.063435316
Swat,KPK,2015,1,0.9057929
Nowshera,KPK,2015,0,0.55642503
Charsadda,KPK,2015,0,0.4858617
Dir Upper,KPK,2015,1,0.8626986
Dir Lower,KPK,2015,1,0.8755998
Chitral,KPK,2015,1,0.8646401
Kohistan,KPK,2015,1,0.962648
Tank,KPK,2015,0,0.07302727
Dera Ismail Khan,KPK,2015,0,0.06905652
Mardan,KPK,2015,0,0.34927437
Abbottabad,KPK,2015,0,0.0018805921
Haripur,KPK,2015,0,0.0031544967
Mansehra,KPK,2015,1,0.73982084
Battagram,KPK,2015,1,0.841129
Shangla,KPK,2015,1,0.87215227
Buner,KPK,2015,0,0.07076782
Malakand,KPK,2015,1,0.8281491
Hangu,KPK,2015,0,0.008837722
Karak,KPK,2015,0,0.008892301
Kohat,KPK,2015,0,0.013528375
Lakki Marwat,KPK,2015,0,0.29322067
Bannu,KPK,2015,0,0.10705542
Kurram,KPK,2015,0,0.007129366
Orakzai,KPK,2015,0,0.0036019648
Khyber,KPK,2015,0,0.005090536
Mohmand,KPK,2015,0,0.045524646
Bajaur,KPK,2015,0,0.051388506
South Waziristan,KPK,2015,0,0.0045203306
North Waziristan,KPK,2015,0,0.005767884
Torghar,KPK,2015,1,0.9301885
Kolai Pallas,KPK,2015,1,0.90617657
Swabi,KPK,2015,0,0.10717425
Tor Ghar,KPK,2015,0,0.058444016
Khyber Tribal,KPK,2015,0,0.0053945975
Quetta,Balochistan,2015,0,0.008302058
Naseerabad,Balochistan,2015,0,0.17891349
Jaffarabad,Balochistan,2015,0,0.23772803
Lasbela,Balochistan,2015,0,0.13912846
Kalat,Balochistan,2015,0,0.058488652
Khuzdar,Balochistan,2015,0,0.038838107
Turbat,Balochistan,2015,0,0.036882337
Gwadar,Balochistan,2015,0,0.027953383
Panjgur,Balochistan,2015,0,0.028346254
Chagai,Balochistan,2015,0,0.0058811465
Nushki,Balochistan,2015,0,0.0020451176
Kharan,Balochistan,2015,0,0.0047824224
Washuk,Balochistan,2015,0,0.0021828744
Awaran,Balochistan,2015,0,0.049795963
Kech,Balochistan,2015,0,0.037688375
Dera Bugti,Balochistan,2015,0,0.2283741
Kohlu,Balochistan,2015,0,0.0017207765
Sibi,Balochistan,2015,0,0.019342743
Ziarat,Balochistan,2015,0,0.0020318378
Pishin,Balochistan,2015,0,0.008166249
Qilla Abdullah,Balochistan,2015,0,0.0014887736
Qilla Saifullah,Balochistan,2015,0,0.003405178
Loralai,Balochistan,2015,0,0.00925567
Musakhel,Balochistan,2015,0,0.010941579
Barkhan,Balochistan,2015,0,0.008036635
Harnai,Balochistan,2015,0,0.0066433214
Sherani,Balochistan,2015,0,0.002429655
Zhob,Balochistan,2015,0,0.0028724924
Jhal Magsi,Balochistan,2015,0,0.19357976
Khairpur Tamewali,Balochistan,2015,0,0.0025374843
Mastung,Balochistan,2015,0,0.008226145
Surab,Balochistan,2015,0,0.0035721515
Lehri,Balochistan,2015,0,0.027586197
Gilgit,GB,2015,1,0.9340775
Skardu,GB,2015,0,0.1652235
Hunza,GB,2015,1,0.8463333
Nagar,GB,2015,1,0.74958265
Ghanche,GB,2015,0,0.07349995
Shigar,GB,2015,0,0.021055423
Kharmang,GB,2015,0,0.008291645
Roundu,GB,2015,0,0.48038667
Tangir,GB,2015,0,0.14939882
Darel,GB,2015,0,0.18288887
Diamer,GB,2015,1,0.9062266
Astore,GB,2015,1,0.43107325
Ghizer,GB,2015,1,0.86381584
Gupis Yasin,GB,2015,1,0.72648704
Muzaffarabad,AJK,2015,1,0.8752027
Mirpur,AJK,2015,0,0.20014231
Bagh,AJK,2015,0,0.34401965
Rawalakot,AJK,2015,0,0.0052495627
Kotli,AJK,2015,0,0.051082704
Neelum,AJK,2015,1,0.8225101
Haveli,AJK,2015,0,0.0040224264
Sudhnoti,AJK,2015,0,0.0024489302
Hattian Bala,AJK,2015,0,0.617844
Jhelum Valley,AJK,2015,0,0.4209834
Islamabad,ICT,2015,0,0.0020474526
Lahore,Punjab,2016,0,0.06290457
Multan,Punjab,2016,1,0.2649745
Faisalabad,Punjab,2016,0,0.0010227473
Rawalpindi,Punjab,2016,0,0.0015434127
Gujranwala,Punjab,2016,0,0.028802203
Sialkot,Punjab,2016,0,0.016043255
Bahawalpur,Punjab,2016,1,0.3175002
Rahim Yar Khan,Punjab,2016,1,0.73749715
DG Khan,Punjab,2016,0,0.30517334
Muzaffargarh,Punjab,2016,1,0.80270827
Gujrat,Punjab,2016,0,0.016030734
Sheikhupura,Punjab,2016,0,0.11051699
Sargodha,Punjab,2016,0,0.0036130424
Jhang,Punjab,2016,0,0.03585648
Kasur,Punjab,2016,0,0.0069635417
Okara,Punjab,2016,0,0.0022342019
Sahiwal,Punjab,2016,0,0.0010067602
Pakpattan,Punjab,2016,0,0.0033828972
Bahawalnagar,Punjab,2016,0,0.010688654
Vehari,Punjab,2016,0,0.035512697
Lodhran,Punjab,2016,1,0.3122387
Khanewal,Punjab,2016,0,0.106063664
Chiniot,Punjab,2016,0,0.0015083726
Hafizabad,Punjab,2016,0,0.015140246
Narowal,Punjab,2016,0,0.012676367
Nankana Sahib,Punjab,2016,0,0.005861164
Mandi Bahauddin,Punjab,2016,0,0.001624592
Attock,Punjab,2016,0,0.0018523901
Chakwal,Punjab,2016,0,0.0014031356
Jhelum,Punjab,2016,0,0.0039675073
Khushab,Punjab,2016,0,0.0042191707
Bhakkar,Punjab,2016,0,0.048766986
Layyah,Punjab,2016,0,0.12232477
Toba Tek Singh,Punjab,2016,0,0.0019375207
Dera Ghazi Khan,Punjab,2016,0,0.30517334
Karachi Central,Sindh,2016,0,0.025750132
Karachi East,Sindh,2016,0,0.010553585
Karachi West,Sindh,2016,0,0.025750132
Karachi South,Sindh,2016,0,0.009912551
Malir,Sindh,2016,0,0.0265223
Hyderabad,Sindh,2016,0,0.07464907
Sukkur,Sindh,2016,1,0.8485492
Larkana,Sindh,2016,1,0.8613444
Thatta,Sindh,2016,0,0.07218487
Dadu,Sindh,2016,0,0.107311174
Jacobabad,Sindh,2016,0,0.18099114
Kashmore,Sindh,2016,0,0.649874
Kamber,Sindh,2016,0,0.64019793
Shikarpur,Sindh,2016,0,0.094238326
Mirpur Khas,Sindh,2016,0,0.044712573
Sanghar,Sindh,2016,0,0.24968569
Nawabshah,Sindh,2016,1,0.8052606
Naushahro Feroze,Sindh,2016,0,0.057726957
Khairpur,Sindh,2016,1,0.7952443
Ghotki,Sindh,2016,0,0.65204984
Badin,Sindh,2016,0,0.028736968
Tharparkar,Sindh,2016,0,0.017479839
Umerkot,Sindh,2016,0,0.019023651
Matiari,Sindh,2016,0,0.050897393
Jamshoro,Sindh,2016,0,0.061505847
Sujawal,Sindh,2016,0,0.03164585
Tando Allahyar,Sindh,2016,0,0.021991435
Tando Muhammad Khan,Sindh,2016,0,0.033758417
Qambar Shahdadkot,Sindh,2016,0,0.40584043
Peshawar,KPK,2016,0,0.023272758
Swat,KPK,2016,0,0.22171053
Nowshera,KPK,2016,0,0.19127098
Charsadda,KPK,2016,0,0.14781149
Dir Upper,KPK,2016,0,0.21731815
Dir Lower,KPK,2016,0,0.1113074
Chitral,KPK,2016,0,0.24037433
Kohistan,KPK,2016,0,0.11801067
Tank,KPK,2016,0,0.119913176
Dera Ismail Khan,KPK,2016,0,0.094211124
Mardan,KPK,2016,0,0.1069774
Abbottabad,KPK,2016,0,0.0010126194
Haripur,KPK,2016,0,0.003058756
Mansehra,KPK,2016,0,0.12187093
Battagram,KPK,2016,0,0.1941424
Shangla,KPK,2016,0,0.12715872
Buner,KPK,2016,0,0.02461128
Malakand,KPK,2016,0,0.21865766
Hangu,KPK,2016,0,0.0014469023
Karak,KPK,2016,0,0.002977118
Kohat,KPK,2016,0,0.002654165
Lakki Marwat,KPK,2016,0,0.25775945
Bannu,KPK,2016,0,0.0099870395
Kurram,KPK,2016,0,0.0019459967
Orakzai,KPK,2016,0,0.0008131086
Khyber,KPK,2016,0,0.0014040953
Mohmand,KPK,2016,0,0.011186757
Bajaur,KPK,2016,0,0.012732889
South Waziristan,KPK,2016,0,0.004548296
North Waziristan,KPK,2016,0,0.0021616574
Torghar,KPK,2016,0,0.07493526
Kolai Pallas,KPK,2016,0,0.06497015
Swabi,KPK,2016,0,0.04835512
Tor Ghar,KPK,2016,0,0.0017337244
Khyber Tribal,KPK,2016,0,0.0013541984
Quetta,Balochistan,2016,0,0.008703107
Naseerabad,Balochistan,2016,1,0.91986793
Jaffarabad,Balochistan,2016,1,0.9424641
Lasbela,Balochistan,2016,0,0.056688204
Kalat,Balochistan,2016,0,0.05735949
Khuzdar,Balochistan,2016,0,0.03407609
Turbat,Balochistan,2016,0,0.0694081
Gwadar,Balochistan,2016,0,0.019230176
Panjgur,Balochistan,2016,0,0.045147464
Chagai,Balochistan,2016,0,0.0023394066
Nushki,Balochistan,2016,0,0.0024439425
Kharan,Balochistan,2016,0,0.0034527078
Washuk,Balochistan,2016,0,0.0024981569
Awaran,Balochistan,2016,0,0.06578588
Kech,Balochistan,2016,0,0.07287738
Dera Bugti,Balochistan,2016,0,0.43092728
Kohlu,Balochistan,2016,0,0.0016268953
Sibi,Balochistan,2016,0,0.0745328
Ziarat,Balochistan,2016,0,0.0017477451
Pishin,Balochistan,2016,0,0.011014677
Qilla Abdullah,Balochistan,2016,0,0.0019158873
Qilla Saifullah,Balochistan,2016,0,0.00130155
Loralai,Balochistan,2016,0,0.00922353
Musakhel,Balochistan,2016,0,0.0067434213
Barkhan,Balochistan,2016,0,0.009763768
Harnai,Balochistan,2016,0,0.010151516
Sherani,Balochistan,2016,0,0.0019613637
Zhob,Balochistan,2016,0,0.0014341009
Jhal Magsi,Balochistan,2016,0,0.8667294
Khairpur Tamewali,Balochistan,2016,0,0.0040829377
Mastung,Balochistan,2016,0,0.010339856
Surab,Balochistan,2016,0,0.0033852775
Lehri,Balochistan,2016,0,0.0944821
Gilgit,GB,2016,0,0.2092913
Skardu,GB,2016,0,0.018820604
Hunza,GB,2016,0,0.14852677
Nagar,GB,2016,0,0.024273206
Ghanche,GB,2016,0,0.0226134
Shigar,GB,2016,0,0.0027729191
Kharmang,GB,2016,0,0.0020068705
Roundu,GB,2016,0,0.04144633
Tangir,GB,2016,0,0.009134433
Darel,GB,2016,0,0.010060496
Diamer,GB,2016,0,0.17312168
Astore,GB,2016,0,0.1825848
Ghizer,GB,2016,0,0.06283836
Gupis Yasin,GB,2016,0,0.02793857
Muzaffarabad,AJK,2016,0,0.20623834
Mirpur,AJK,2016,0,0.061120838
Bagh,AJK,2016,0,0.08678487
Rawalakot,AJK,2016,0,0.0018804478
Kotli,AJK,2016,0,0.0450724
Neelum,AJK,2016,0,0.15625647
Haveli,AJK,2016,0,0.0016580556
Sudhnoti,AJK,2016,0,0.0014245395
Hattian Bala,AJK,2016,0,0.12584563
Jhelum Valley,AJK,2016,0,0.11849069
Islamabad,ICT,2016,0,0.0015434127
Lahore,Punjab,2017,1,0.7172406
Multan,Punjab,2017,0,0.29977852
Faisalabad,Punjab,2017,0,0.0060279854
Rawalpindi,Punjab,2017,0,0.0019510095
Gujranwala,Punjab,2017,1,0.23711751
Sialkot,Punjab,2017,0,0.053243704
Bahawalpur,Punjab,2017,0,0.28638265
Rahim Yar Khan,Punjab,2017,0,0.33503744
DG Khan,Punjab,2017,1,0.80289245
Muzaffargarh,Punjab,2017,1,0.8470394
Gujrat,Punjab,2017,0,0.054090865
Sheikhupura,Punjab,2017,1,0.7742369
Sargodha,Punjab,2017,0,0.03681631
Jhang,Punjab,2017,0,0.247619
Kasur,Punjab,2017,0,0.012967956
Okara,Punjab,2017,0,0.0036113448
Sahiwal,Punjab,2017,0,0.0025503885
Pakpattan,Punjab,2017,0,0.007032137
Bahawalnagar,Punjab,2017,0,0.052750967
Vehari,Punjab,2017,0,0.19729966
Lodhran,Punjab,2017,0,0.28441456
Khanewal,Punjab,2017,0,0.093790755
Chiniot,Punjab,2017,0,0.009678719
Hafizabad,Punjab,2017,1,0.56431997
Narowal,Punjab,2017,0,0.042602852
Nankana Sahib,Punjab,2017,0,0.047867473
Mandi Bahauddin,Punjab,2017,0,0.004425045
Attock,Punjab,2017,0,0.03655859
Chakwal,Punjab,2017,0,0.0018310656
Jhelum,Punjab,2017,0,0.0044496427
Khushab,Punjab,2017,0,0.031928215
Bhakkar,Punjab,2017,0,0.115638725
Layyah,Punjab,2017,1,0.5093741
Toba Tek Singh,Punjab,2017,0,0.0017586615
Dera Ghazi Khan,Punjab,2017,1,0.80289245
Karachi Central,Sindh,2017,0,0.052831285
Karachi East,Sindh,2017,0,0.024248773
Karachi West,Sindh,2017,0,0.052831285
Karachi South,Sindh,2017,0,0.028113965
Malir,Sindh,2017,0,0.049312323
Hyderabad,Sindh,2017,0,0.087006316
Sukkur,Sindh,2017,1,0.51779276
Larkana,Sindh,2017,0,0.3477207
Thatta,Sindh,2017,0,0.24731386
Dadu,Sindh,2017,0,0.1507496
Jacobabad,Sindh,2017,0,0.50487363
Kashmore,Sindh,2017,1,0.91754276
Kamber,Sindh,2017,0,0.13163596
Shikarpur,Sindh,2017,0,0.08690646
Mirpur Khas,Sindh,2017,0,0.07620138
Sanghar,Sindh,2017,0,0.15419766
Nawabshah,Sindh,2017,0,0.46396717
Naushahro Feroze,Sindh,2017,0,0.091360115
Khairpur,Sindh,2017,0,0.36504185
Ghotki,Sindh,2017,1,0.78247684
Badin,Sindh,2017,0,0.08626347
Tharparkar,Sindh,2017,0,0.038835097
Umerkot,Sindh,2017,0,0.029050985
Matiari,Sindh,2017,0,0.10336179
Jamshoro,Sindh,2017,0,0.077823006
Sujawal,Sindh,2017,0,0.096333385
Tando Allahyar,Sindh,2017,0,0.0452815
Tando Muhammad Khan,Sindh,2017,0,0.041381788
Qambar Shahdadkot,Sindh,2017,0,0.0878665
Peshawar,KPK,2017,0,0.02904523
Swat,KPK,2017,1,0.7531639
Nowshera,KPK,2017,1,0.88161784
Charsadda,KPK,2017,1,0.8530664
Dir Upper,KPK,2017,0,0.6467432
Dir Lower,KPK,2017,0,0.562335
Chitral,KPK,2017,0,0.5407258
Kohistan,KPK,2017,0,0.33229834
Tank,KPK,2017,0,0.07950954
Dera Ismail Khan,KPK,2017,0,0.081077285
Mardan,KPK,2017,1,0.8165991
Abbottabad,KPK,2017,0,0.0031486496
Haripur,KPK,2017,0,0.013415992
Mansehra,KPK,2017,0,0.26474234
Battagram,KPK,2017,0,0.3587006
Shangla,KPK,2017,0,0.4449141
Buner,KPK,2017,0,0.15066935
Malakand,KPK,2017,0,0.37465388
Hangu,KPK,2017,0,0.0037731938
Karak,KPK,2017,0,0.0028014213
Kohat,KPK,2017,0,0.0063449675
Lakki Marwat,KPK,2017,0,0.14398776
Bannu,KPK,2017,0,0.03376965
Kurram,KPK,2017,0,0.0009181568
Orakzai,KPK,2017,0,0.0011765542
Khyber,KPK,2017,0,0.002154884
Mohmand,KPK,2017,0,0.041158874
Bajaur,KPK,2017,0,0.042214077
South Waziristan,KPK,2017,0,0.0047934265
North Waziristan,KPK,2017,0,0.0020543183
Torghar,KPK,2017,0,0.2290534
Kolai Pallas,KPK,2017,0,0.17665848
Swabi,KPK,2017,1,0.7216361
Tor Ghar,KPK,2017,0,0.0026696725
Khyber Tribal,KPK,2017,0,0.0021413758
Quetta,Balochistan,2017,0,0.013106504
Naseerabad,Balochistan,2017,1,0.9575937
Jaffarabad,Balochistan,2017,1,0.94144094
Lasbela,Balochistan,2017,0,0.101671815
Kalat,Balochistan,2017,0,0.06858102
Khuzdar,Balochistan,2017,0,0.07319114
Turbat,Balochistan,2017,0,0.068899274
Gwadar,Balochistan,2017,0,0.018848043
Panjgur,Balochistan,2017,0,0.024770616
Chagai,Balochistan,2017,0,0.0041114013
Nushki,Balochistan,2017,0,0.0046809963
Kharan,Balochistan,2017,0,0.0045896745
Washuk,Balochistan,2017,0,0.0017260202
Awaran,Balochistan,2017,0,0.07917927
Kech,Balochistan,2017,0,0.07007077
Dera Bugti,Balochistan,2017,1,0.89333236
Kohlu,Balochistan,2017,0,0.002361453
Sibi,Balochistan,2017,0,0.10792596
Ziarat,Balochistan,2017,0,0.0021075557
Pishin,Balochistan,2017,0,0.044023447
Qilla Abdullah,Balochistan,2017,0,0.0076379767
Qilla Saifullah,Balochistan,2017,0,0.0026009008
Loralai,Balochistan,2017,0,0.01556912
Musakhel,Balochistan,2017,0,0.030755877
Barkhan,Balochistan,2017,0,0.013485107
Harnai,Balochistan,2017,0,0.014843114
Sherani,Balochistan,2017,0,0.0027963559
Zhob,Balochistan,2017,0,0.0032788648
Jhal Magsi,Balochistan,2017,1,0.94412214
Khairpur Tamewali,Balochistan,2017,0,0.0035131357
Mastung,Balochistan,2017,0,0.013728458
Surab,Balochistan,2017,0,0.003322919
Lehri,Balochistan,2017,0,0.11724967
Gilgit,GB,2017,0,0.40330878
Skardu,GB,2017,0,0.033733804
Hunza,GB,2017,0,0.47093928
Nagar,GB,2017,0,0.06976962
Ghanche,GB,2017,0,0.087303616
Shigar,GB,2017,0,0.0047125686
Kharmang,GB,2017,0,0.0136082405
Roundu,GB,2017,0,0.18934958
Tangir,GB,2017,0,0.0526695
Darel,GB,2017,0,0.06003476
Diamer,GB,2017,0,0.4395011
Astore,GB,2017,0,0.23577112
Ghizer,GB,2017,0,0.1841823
Gupis Yasin,GB,2017,0,0.05375609
Muzaffarabad,AJK,2017,0,0.30930832
Mirpur,AJK,2017,0,0.06649203
Bagh,AJK,2017,0,0.22561431
Rawalakot,AJK,2017,0,0.0044352175
Kotli,AJK,2017,0,0.057061546
Neelum,AJK,2017,0,0.27487287
Haveli,AJK,2017,0,0.004270667
Sudhnoti,AJK,2017,0,0.0019399658
Hattian Bala,AJK,2017,0,0.19180205
