district,year,flooded,annual_total_mm,annual_max_daily,monsoon_total_mm,monsoon_avg_daily,monsoon_max_daily,monsoon_rainy_days,premonsoon_total_mm,province,lat,lon,elevation_m,terrain_type,river_proximity,flood_risk_geo,terrain_code,geo_risk_code,province_code,flood_intensity_score,flood_intensity_category,flood_intensity_code,risk_score
Karachi Central,2010,0,237.09,59.22,231.9,1.9008,59.22,9,0.12,Sindh,24.9056,67.0822,8,coastal,0,high,2,3,2.0,271.08,very_high,5,0.29635647
Karachi East,2010,0,237.09,59.22,231.9,1.9008,59.22,9,0.12,Sindh,24.94,67.13,10,coastal,0,high,2,3,2.0,245.2011,high,4,0.017140634
Karachi West,2010,0,237.09,59.22,231.9,1.9008,59.22,9,0.12,Sindh,24.88,66.99,8,coastal,0,high,2,3,2.0,271.08,very_high,5,0.30042514
Karachi South,2010,0,237.09,59.22,231.9,1.9008,59.22,9,0.12,Sindh,24.84,67.01,5,coastal,0,high,2,3,2.0,332.0038,very_high,5,0.019858256
Malir,2010,0,245.77,61.57,239.82,1.9657,61.57,11,0.0,Sindh,25.07,67.2,15,coastal,0,high,2,3,2.0,212.649,high,4,0.35561115
Hyderabad,2010,1,250.65,50.24,244.53,2.0043,50.24,11,0.0,Sindh,25.396,68.3578,38,plains,1,high,1,3,2.0,253.3528,very_high,5,0.95837384
Sukkur,2010,1,119.21,13.77,113.83,0.933,13.77,9,2.15,Sindh,27.7052,68.8574,65,plains,1,high,1,3,2.0,80.7515,moderate,3,0.9951916
Larkana,2010,1,116.23,11.12,110.47,0.9055,11.12,9,4.15,Sindh,27.559,68.21,56,plains,1,high,1,3,2.0,81.0789,moderate,3,0.98244375
Thatta,2010,1,308.61,55.17,288.17,2.362,55.17,13,0.0,Sindh,24.7461,67.9236,12,coastal,1,high,2,3,2.0,503.7931,extreme,6,0.90396965
Dadu,2010,1,175.18,24.92,170.23,1.3953,24.92,11,2.27,Sindh,26.73,67.78,50,plains,1,high,1,3,2.0,141.5498,high,4,0.99016994
Jacobabad,2010,1,149.85,23.13,140.25,1.1496,23.13,7,6.71,Sindh,28.2769,68.4376,55,plains,1,high,1,3,2.0,112.9793,high,4,0.991383
Kashmore,2010,1,151.09,20.85,141.15,1.157,20.85,8,6.48,Sindh,28.4419,69.5714,60,plains,1,high,1,3,2.0,106.3141,high,4,0.99391466
Kamber,2010,1,116.23,11.12,110.47,0.9055,11.12,9,4.15,Sindh,27.5867,68.0019,48,plains,1,high,1,3,2.0,87.4474,moderate,3,0.98470944
Shikarpur,2010,1,122.45,14.19,114.92,0.942,14.19,10,4.48,Sindh,27.9558,68.6381,58,plains,1,high,1,3,2.0,87.7463,moderate,3,0.97084147
Mirpur Khas,2010,1,257.14,43.4,249.42,2.0444,43.4,12,0.01,Sindh,25.527,69.0144,28,plains,1,high,1,3,2.0,283.5033,very_high,5,0.95485455
Sanghar,2010,1,241.1,45.11,236.63,1.9396,45.11,11,0.05,Sindh,26.0469,68.9469,42,plains,1,high,1,3,2.0,227.5565,high,4,0.9761801
Nawabshah,2010,1,234.45,43.48,231.2,1.8951,43.48,8,0.03,Sindh,26.2439,68.41,37,plains,1,high,1,3,2.0,231.3407,high,4,0.99169075
Naushahro Feroze,2010,1,133.9,17.57,131.25,1.0758,17.57,9,1.52,Sindh,26.8381,68.1142,44,plains,1,high,1,3,2.0,113.9411,high,4,0.9488886
Khairpur,2010,1,119.21,13.77,113.83,0.933,13.77,9,2.15,Sindh,27.529,68.7592,52,plains,1,high,1,3,2.0,90.1124,moderate,3,0.99402654
Ghotki,2010,1,132.65,13.82,124.32,1.019,13.82,10,4.57,Sindh,28.005,69.3214,62,plains,1,high,1,3,2.0,88.6191,moderate,3,0.99390775
Badin,2010,0,341.2,61.14,314.0,2.5738,61.14,16,0.0,Sindh,24.6558,68.8369,10,coastal,1,high,2,3,2.0,605.4589,extreme,6,0.4885457
Tharparkar,2010,0,526.47,46.63,469.5,3.8484,46.63,30,0.04,Sindh,24.71,70.23,85,plains,0,medium,1,2,2.0,90.5709,moderate,3,0.050902795
Umerkot,2010,0,324.25,39.11,299.35,2.4537,39.11,17,0.2,Sindh,25.36,69.74,52,plains,0,medium,1,2,2.0,77.8367,moderate,3,0.044814907
Matiari,2010,1,257.14,43.4,249.42,2.0444,43.4,12,0.01,Sindh,25.59,68.46,30,plains,1,high,1,3,2.0,274.2056,very_high,5,0.95824534
Jamshoro,2010,1,250.65,50.24,244.53,2.0043,50.24,11,0.0,Sindh,25.43,68.28,32,plains,1,high,1,3,2.0,275.4236,very_high,5,0.95540196
Sujawal,2010,0,308.61,55.17,288.17,2.362,55.17,13,0.0,Sindh,24.59,68.32,8,coastal,1,high,2,3,2.0,605.484,extreme,6,0.5849423
Tando Allahyar,2010,0,257.14,43.4,249.42,2.0444,43.4,12,0.01,Sindh,25.47,68.72,30,plains,1,high,1,3,2.0,274.2056,very_high,5,0.74545574
Tando Muhammad Khan,2010,0,271.93,48.97,258.93,2.1224,48.97,14,0.0,Sindh,25.12,68.53,20,plains,1,high,1,3,2.0,359.1404,very_high,5,0.6664897
Qambar Shahdadkot,2010,1,116.23,11.12,110.47,0.9055,11.12,9,4.15,Sindh,27.55,67.99,46,plains,1,high,1,3,2.0,89.2886,moderate,3,0.98101586
Peshawar,2010,0,767.61,100.48,503.23,4.1248,100.48,20,70.53,KPK,34.0151,71.5249,331,plains,1,medium,1,2,3.0,116.9863,high,4,0.10381239
Swat,2010,1,941.76,102.71,554.75,4.5471,102.71,26,126.64,KPK,35.2227,72.4258,980,mountains,1,medium,4,2,3.0,73.7233,moderate,3,0.98913145
Nowshera,2010,1,730.73,100.65,480.02,3.9346,100.65,19,63.65,KPK,34.0153,71.9747,288,plains,1,medium,1,2,3.0,121.8381,high,4,0.94044304
Charsadda,2010,1,730.73,100.65,480.02,3.9346,100.65,19,63.65,KPK,34.1481,71.7408,276,plains,1,medium,1,2,3.0,124.4492,high,4,0.89272404
