district,year,flooded,annual_total_mm,annual_max_daily,monsoon_total_mm,monsoon_avg_daily,monsoon_max_daily,monsoon_rainy_days,premonsoon_total_mm,province,lat,lon,elevation_m,terrain_type,river_proximity,flood_risk_geo,terrain_code,geo_risk_code,province_code,flood_intensity_score,flood_intensity_category,flood_intensity_code,risk_score
Khairpur Tamewali,2012,0,171.02,41.61,133.86,1.0972,41.61,4,26.41,Balochistan,29.5694,72.2403,100,plains,1,medium,1,2,4.0,67.4779,moderate,3,0.0044612307
Mastung,2012,0,156.43,15.24,37.47,0.3071,5.77,2,36.86,Balochistan,29.7942,66.8411,1840,mountains,0,low,4,1,4.0,1.3043,very_low,1,0.0034717924
Surab,2012,0,123.83,14.59,51.3,0.4205,14.59,3,31.19,Balochistan,28.49,66.26,1620,mountains,0,low,4,1,4.0,1.601,very_low,1,0.0011931775
Lehri,2012,0,223.12,40.74,193.02,1.5821,40.74,12,16.89,Balochistan,29.43,68.18,80,plains,1,medium,1,2,4.0,95.6853,moderate,3,0.26790914
Gilgit,2012,0,245.37,13.69,86.96,0.7128,13.69,3,55.61,GB,35.9208,74.3089,1500,mountains,1,medium,4,2,6.0,8.6784,very_low,1,0.0857403
Skardu,2012,0,295.52,18.77,104.27,0.8547,18.77,4,68.8,GB,35.2971,75.6333,2438,mountains,1,medium,4,2,6.0,8.5936,very_low,1,0.004167748
Hunza,2012,0,177.18,7.91,61.51,0.5042,7.91,1,36.77,GB,36.3147,74.6481,2438,mountains,1,medium,4,2,6.0,4.392,very_low,1,0.12828475
Nagar,2012,0,245.37,13.69,86.96,0.7128,13.69,3,55.61,GB,36.2333,74.45,2900,mountains,1,medium,4,2,6.0,6.2424,very_low,1,0.019421553
Ghanche,2012,0,174.06,11.89,74.81,0.6132,11.89,2,33.52,GB,35.49,76.67,2700,mountains,1,medium,4,2,6.0,5.5158,very_low,1,0.027050585
Shigar,2012,0,295.52,18.77,104.27,0.8547,18.77,4,68.8,GB,35.51,75.7,2620,mountains,1,medium,4,2,6.0,8.2899,very_low,1,0.0019448244
Kharmang,2012,0,262.77,19.85,94.28,0.7728,19.85,3,56.9,GB,35.08,76.2,2500,mountains,1,medium,4,2,6.0,8.0598,very_low,1,0.0014850808
Roundu,2012,0,320.81,16.51,121.71,0.9976,16.51,4,69.92,GB,35.5,73.7,1600,mountains,1,medium,4,2,6.0,11.2011,very_low,1,0.028195668
Tangir,2012,0,402.44,11.59,141.4,1.159,11.59,7,80.61,GB,35.5,73.2,1400,mountains,1,medium,4,2,6.0,12.6658,very_low,1,0.01608596
Darel,2012,0,402.44,11.59,141.4,1.159,11.59,7,80.61,GB,35.55,73.4,1500,mountains,1,medium,4,2,6.0,12.2366,very_low,1,0.019521138
Diamer,2012,0,551.68,25.66,233.97,1.9178,25.66,16,115.33,GB,35.1667,73.6667,1600,mountains,1,medium,4,2,6.0,21.5635,low,2,0.16035777
Astore,2012,0,328.56,18.99,112.85,0.925,18.99,4,78.45,GB,35.3667,74.9,2590,mountains,1,medium,4,2,6.0,8.7769,very_low,1,0.07944892
Ghizer,2012,0,218.89,11.4,72.96,0.598,11.4,2,47.35,GB,36.2,73.75,2200,mountains,1,medium,4,2,6.0,5.9321,very_low,1,0.039109692
Gupis Yasin,2012,0,244.95,8.46,68.8,0.5639,8.43,3,49.44,GB,36.17,73.27,2260,mountains,1,medium,4,2,6.0,5.2745,very_low,1,0.060073048
Muzaffarabad,2012,0,747.24,41.28,345.96,2.8357,41.28,28,145.96,AJK,34.37,73.47,737,mountains,1,medium,4,2,5.0,48.9044,low,2,0.31028008
Mirpur,2012,0,695.31,37.14,482.34,3.9536,37.14,33,65.49,AJK,33.1478,73.7508,411,hills,1,medium,3,2,5.0,81.4245,moderate,3,0.010372849
Bagh,2012,0,781.43,33.35,423.25,3.4693,33.35,34,125.65,AJK,33.9861,73.7808,1070,mountains,1,medium,4,2,5.0,45.4255,low,2,0.052199982
Rawalakot,2012,0,781.43,33.35,423.25,3.4693,33.35,34,125.65,AJK,33.8583,73.7611,1676,mountains,0,low,4,1,5.0,9.0754,very_low,1,0.0015667978
Kotli,2012,0,771.41,44.05,487.62,3.9969,44.05,30,91.93,AJK,33.5136,73.9017,614,hills,1,medium,3,2,5.0,68.659,moderate,3,0.009986474
Neelum,2012,0,747.24,41.28,345.96,2.8357,41.28,28,145.96,AJK,34.55,73.9,1400,mountains,1,medium,4,2,5.0,35.4942,low,2,0.16644175
Haveli,2012,0,781.43,33.35,423.25,3.4693,33.35,34,125.65,AJK,33.77,73.66,1200,mountains,0,low,4,1,5.0,10.7241,very_low,1,0.0014259864
Sudhnoti,2012,0,771.41,44.05,487.62,3.9969,44.05,30,91.93,AJK,33.55,73.67,960,hills,0,low,3,1,5.0,13.7314,very_low,1,0.0006397552
Hattian Bala,2012,0,747.24,41.28,345.96,2.8357,41.28,28,145.96,AJK,34.37,73.83,1050,mountains,1,medium,4,2,5.0,40.9802,low,2,0.10193913
Jhelum Valley,2012,0,747.24,41.28,345.96,2.8357,41.28,28,145.96,AJK,34.67,73.67,1600,mountains,1,medium,4,2,5.0,33.2032,low,2,0.056201633
Islamabad,2012,0,833.8,77.1,572.28,4.6908,77.1,30,81.05,ICT,33.7294,73.0931,540,hills,0,low,3,1,0.0,23.3268,low,2,0.0013007412
Lahore,2013,0,666.89,38.74,514.27,4.2153,38.74,27,13.25,Punjab,31.5204,74.3587,217,plains,1,medium,1,2,1.0,115.5563,high,4,0.044111162
Multan,2013,0,181.26,26.16,97.13,0.7961,26.16,5,10.0,Punjab,30.1575,71.5249,122,plains,1,high,1,3,1.0,63.8912,moderate,3,0.07069801
Faisalabad,2013,0,362.96,25.62,228.36,1.8718,25.62,15,36.47,Punjab,31.4504,73.135,186,plains,0,medium,1,2,1.0,30.824,low,2,0.0013293865
Rawalpindi,2013,0,990.53,63.48,656.9,5.3844,63.48,34,75.08,Punjab,33.5651,73.0169,508,hills,0,low,3,1,1.0,25.3579,low,2,0.0034241749
Gujranwala,2013,0,762.68,44.63,582.66,4.7759,44.63,33,17.42,Punjab,32.1877,74.1945,228,plains,1,medium,1,2,1.0,129.0859,high,4,0.039470967
Sialkot,2013,0,815.59,40.71,593.3,4.8631,40.71,35,30.94,Punjab,32.4945,74.5229,256,plains,1,medium,1,2,1.0,122.2365,high,4,0.0148419645
Bahawalpur,2013,0,166.01,19.39,91.26,0.748,19.39,7,5.78,Punjab,29.3956,71.6836,117,plains,1,high,1,3,1.0,57.4637,moderate,3,0.24311623
Rahim Yar Khan,2013,0,176.63,28.37,84.78,0.6949,24.76,4,15.16,Punjab,28.4212,70.2989,82,plains,1,high,1,3,1.0,74.8206,moderate,3,0.3557237
DG Khan,2013,0,183.75,22.85,93.51,0.7665,22.85,5,21.74,Punjab,30.0368,70.634,138,plains,1,high,1,3,1.0,55.6273,moderate,3,0.20274386
Muzaffargarh,2013,0,181.26,26.16,97.13,0.7961,26.16,5,10.0,Punjab,30.0736,71.193,118,plains,1,high,1,3,1.0,64.9562,moderate,3,0.2661559
Gujrat,2013,0,815.59,40.71,593.3,4.8631,40.71,35,30.94,Punjab,32.5742,74.0796,246,plains,1,medium,1,2,1.0,124.6864,high,4,0.0148419645
Sheikhupura,2013,0,464.5,31.64,336.03,2.7543,31.64,20,21.72,Punjab,31.7167,73.985,213,plains,1,medium,1,2,1.0,80.6352,moderate,3,0.058894426
Sargodha,2013,0,379.34,23.2,206.48,1.6925,22.27,17,53.85,Punjab,32.0836,72.6711,187,plains,1,medium,1,2,1.0,57.1172,moderate,3,0.007210771
Jhang,2013,0,332.88,22.04,184.79,1.5147,22.04,16,40.48,Punjab,31.2681,72.3181,164,plains,1,high,1,3,1.0,83.5893,moderate,3,0.09009192
Kasur,2013,0,545.55,33.06,414.9,3.4008,33.06,24,12.62,Punjab,31.1167,74.45,210,plains,1,medium,1,2,1.0,96.6719,moderate,3,0.0018451315
Okara,2013,0,381.74,26.1,272.26,2.2316,26.1,19,16.11,Punjab,30.81,73.4597,174,plains,0,medium,1,2,1.0,36.8978,low,2,0.0016066274
Sahiwal,2013,0,270.46,34.25,175.81,1.4411,34.25,8,13.29,Punjab,30.6682,73.1166,170,plains,0,medium,1,2,1.0,28.4454,low,2,0.0014147575
Pakpattan,2013,0,270.46,34.25,175.81,1.4411,34.25,8,13.29,Punjab,30.3436,73.3868,154,plains,1,high,1,3,1.0,89.6325,moderate,3,0.0016089235
Bahawalnagar,2013,0,241.8,36.41,158.76,1.3013,36.41,7,8.77,Punjab,29.9947,73.2536,140,plains,1,high,1,3,1.0,90.2329,moderate,3,0.0049434076
Vehari,2013,0,206.49,25.24,126.36,1.0357,25.24,10,6.27,Punjab,30.0444,72.3508,134,plains,1,high,1,3,1.0,72.9649,moderate,3,0.14478867
Lodhran,2013,0,166.01,19.39,91.26,0.748,19.39,7,5.78,Punjab,29.5372,71.632,111,plains,1,high,1,3,1.0,58.9829,moderate,3,0.25620097
Khanewal,2013,0,209.81,28.46,116.52,0.9551,28.46,6,9.38,Punjab,30.3014,71.932,122,plains,1,high,1,3,1.0,73.4854,moderate,3,0.057400588
Chiniot,2013,0,362.96,25.62,228.36,1.8718,25.62,15,36.47,Punjab,31.72,72.9781,178,plains,1,high,1,3,1.0,94.5159,moderate,3,0.0014036461
Hafizabad,2013,0,565.92,33.32,408.55,3.3488,33.32,33,30.58,Punjab,32.0714,73.6881,212,plains,1,medium,1,2,1.0,99.0153,moderate,3,0.026540704
Narowal,2013,0,927.35,66.24,719.1,5.8943,66.24,32,14.68,Punjab,32.1,74.8728,240,plains,1,medium,1,2,1.0,157.6741,high,4,0.01198401
Nankana Sahib,2013,0,464.5,31.64,336.03,2.7543,31.64,20,21.72,Punjab,31.45,73.71,210,plains,1,medium,1,2,1.0,81.2065,moderate,3,0.0014326839
Mandi Bahauddin,2013,0,686.35,31.45,485.84,3.9823,31.45,32,43.25,Punjab,32.5853,73.4912,230,plains,1,medium,1,2,1.0,105.905,high,4,0.0047204657
Attock,2013,0,770.87,57.8,397.19,3.2557,57.8,23,83.59,Punjab,33.7667,72.3601,305,hills,1,medium,3,2,1.0,88.8166,moderate,3,0.004630911
Chakwal,2013,0,808.2,51.79,543.47,4.4547,37.91,36,63.99,Punjab,32.9319,72.8561,498,hills,0,low,3,1,1.0,21.6517,low,2,0.0032691502
Jhelum,2013,0,811.1,44.39,549.38,4.5031,41.19,33,60.79,Punjab,32.9263,73.7267,287,hills,1,medium,3,2,1.0,110.287,high,4,0.00293295
Khushab,2013,0,471.37,24.28,268.66,2.2021,18.64,19,59.51,Punjab,32.2958,72.3514,210,plains,1,medium,1,2,1.0,65.6089,moderate,3,0.007291334
Bhakkar,2013,0,293.88,39.37,148.3,1.2156,39.37,5,19.7,Punjab,31.6267,71.0647,145,plains,1,high,1,3,1.0,87.0079,moderate,3,0.04275668
Layyah,2013,0,243.49,21.98,126.41,1.0361,21.98,7,15.48,Punjab,30.9597,70.9436,134,plains,1,high,1,3,1.0,67.2897,moderate,3,0.12660721
Toba Tek Singh,2013,0,282.16,24.23,163.64,1.3413,21.95,11,23.53,Punjab,30.97,72.48,168,plains,0,medium,1,2,1.0,25.0991,low,2,0.0015769124
Dera Ghazi Khan,2013,0,183.75,22.85,93.51,0.7665,22.85,5,21.74,Punjab,30.05,70.64,138,plains,1,high,1,3,1.0,55.6273,moderate,3,0.20274386
Karachi Central,2013,0,89.06,22.82,61.32,0.5026,22.82,3,3.07,Sindh,24.9056,67.0822,8,coastal,0,high,2,3,2.0,86.932,moderate,3,0.0034073258
Karachi East,2013,0,89.06,22.82,61.32,0.5026,22.82,3,3.07,Sindh,24.94,67.13,10,coastal,0,high,2,3,2.0,78.633,moderate,3,0.0012002558
Karachi West,2013,0,89.06,22.82,61.32,0.5026,22.82,3,3.07,Sindh,24.88,66.99,8,coastal,0,high,2,3,2.0,86.932,moderate,3,0.0034073258
Karachi South,2013,0,89.06,22.82,61.32,0.5026,22.82,3,3.07,Sindh,24.84,67.01,5,coastal,0,high,2,3,2.0,106.4695,high,4,0.0008571199
Malir,2013,0,84.86,22.37,58.76,0.4816,22.37,2,7.27,Sindh,25.07,67.2,15,coastal,0,high,2,3,2.0,62.247,moderate,3,0.0040477104
Hyderabad,2013,0,81.45,17.43,54.42,0.4461,17.43,3,15.01,Sindh,25.396,68.3578,38,plains,1,high,1,3,2.0,69.1869,moderate,3,0.025854422
Sukkur,2013,0,89.91,11.99,50.4,0.4131,11.99,3,9.92,Sindh,27.7052,68.8574,65,plains,1,high,1,3,2.0,43.3676,low,2,0.16947252
Larkana,2013,0,108.19,24.2,72.74,0.5962,24.2,4,9.69,Sindh,27.559,68.21,56,plains,1,high,1,3,2.0,77.9175,moderate,3,0.21442243
Thatta,2013,0,107.3,30.34,89.96,0.7374,30.34,5,8.85,Sindh,24.7461,67.9236,12,coastal,1,high,2,3,2.0,203.2799,high,4,0.005917068
Dadu,2013,0,122.65,18.22,87.82,0.7198,18.22,5,7.1,Sindh,26.73,67.78,50,plains,1,high,1,3,2.0,81.1871,moderate,3,0.1860398
Jacobabad,2013,0,153.45,52.66,89.23,0.7314,52.66,4,14.97,Sindh,28.2769,68.4376,55,plains,1,high,1,3,2.0,132.1805,high,4,0.068069726
Kashmore,2013,0,156.92,47.86,88.35,0.7242,47.86,4,14.79,Sindh,28.4419,69.5714,60,plains,1,high,1,3,2.0,118.8669,high,4,0.22411993
Kamber,2013,0,108.19,24.2,72.74,0.5962,24.2,4,9.69,Sindh,27.5867,68.0019,48,plains,1,high,1,3,2.0,84.0377,moderate,3,0.098396875
Shikarpur,2013,0,113.37,31.22,63.28,0.5187,31.22,4,11.68,Sindh,27.9558,68.6381,58,plains,1,high,1,3,2.0,83.1188,moderate,3,0.021688696
Mirpur Khas,2013,0,88.67,19.22,61.64,0.5052,19.22,4,15.78,Sindh,25.527,69.0144,28,plains,1,high,1,3,2.0,90.7203,moderate,3,0.008980122
Sanghar,2013,0,99.83,26.16,72.88,0.5974,26.16,5,9.93,Sindh,26.0469,68.9469,42,plains,1,high,1,3,2.0,94.7455,moderate,3,0.06336161
Nawabshah,2013,0,95.24,25.01,69.03,0.5658,25.01,5,8.85,Sindh,26.2439,68.41,37,plains,1,high,1,3,2.0,96.2992,moderate,3,0.18359873
Naushahro Feroze,2013,0,103.34,21.38,73.86,0.6054,21.38,6,6.93,Sindh,26.8381,68.1142,44,plains,1,high,1,3,2.0,85.933,moderate,3,0.030812051
Khairpur,2013,0,89.91,11.99,50.4,0.4131,11.99,3,9.92,Sindh,27.529,68.7592,52,plains,1,high,1,3,2.0,48.3949,low,2,0.0887764
Ghotki,2013,0,121.75,30.35,68.12,0.5584,30.35,4,11.78,Sindh,28.005,69.3214,62,plains,1,high,1,3,2.0,81.3168,moderate,3,0.16289121
Badin,2013,0,127.34,33.23,110.42,0.9051,33.23,6,10.38,Sindh,24.6558,68.8369,10,coastal,1,high,2,3,2.0,256.3667,very_high,5,0.0047912844
Tharparkar,2013,0,278.39,43.56,243.35,1.9947,43.56,16,18.59,Sindh,24.71,70.23,85,plains,0,medium,1,2,2.0,55.4541,moderate,3,0.0027536585
Umerkot,2013,0,180.14,20.49,142.0,1.1639,20.49,10,13.7,Sindh,25.36,69.74,52,plains,0,medium,1,2,2.0,38.7851,low,2,0.0032777148
Matiari,2013,0,88.67,19.22,61.64,0.5052,19.22,4,15.78,Sindh,25.59,68.46,30,plains,1,high,1,3,2.0,87.7451,moderate,3,0.008796588
Jamshoro,2013,0,81.45,17.43,54.42,0.4461,17.43,3,15.01,Sindh,25.43,68.28,32,plains,1,high,1,3,2.0,75.2141,moderate,3,0.017632937
Sujawal,2013,0,107.3,30.34,89.96,0.7374,30.34,5,8.85,Sindh,24.59,68.32,8,coastal,1,high,2,3,2.0,244.312,high,4,0.0035773914
Tando Allahyar,2013,0,88.67,19.22,61.64,0.5052,19.22,4,15.78,Sindh,25.47,68.72,30,plains,1,high,1,3,2.0,87.7451,moderate,3,0.0063367146
Tando Muhammad Khan,2013,0,90.43,22.4,69.8,0.5721,22.4,3,13.5,Sindh,25.12,68.53,20,plains,1,high,1,3,2.0,119.3826,high,4,0.0029812779
Qambar Shahdadkot,2013,0,108.19,24.2,72.74,0.5962,24.2,4,9.69,Sindh,27.55,67.99,46,plains,1,high,1,3,2.0,85.8071,moderate,3,0.038744345
Peshawar,2013,0,717.87,35.75,249.38,2.0441,35.69,12,124.51,KPK,34.0151,71.5249,331,plains,1,medium,1,2,3.0,52.4954,moderate,3,0.028871989
Swat,2013,1,696.98,49.62,280.17,2.2965,49.62,15,84.77,KPK,35.2227,72.4258,980,mountains,1,medium,4,2,3.0,37.0158,low,2,0.9682261
Nowshera,2013,0,707.13,38.88,240.86,1.9743,33.26,11,121.58,KPK,34.0153,71.9747,288,plains,1,medium,1,2,3.0,56.1826,moderate,3,0.38643482
Charsadda,2013,0,707.13,38.88,240.86,1.9743,33.26,11,121.58,KPK,34.1481,71.7408,276,plains,1,medium,1,2,3.0,57.3866,moderate,3,0.27435687
Dir Upper,2013,1,499.88,24.42,120.84,0.9905,18.96,4,82.16,KPK,35.5742,72.015,1370,mountains,1,medium,4,2,3.0,13.7569,very_low,1,0.9001313
Dir Lower,2013,1,651.95,35.57,205.58,1.6851,35.57,11,89.78,KPK,34.87,71.89,900,mountains,1,medium,4,2,3.0,28.1161,low,2,0.88813937
Chitral,2013,1,327.84,17.31,48.36,0.3964,6.86,1,70.02,KPK,35.8514,71.7864,1500,mountains,1,medium,4,2,3.0,6.725,very_low,1,0.8940293
Kohistan,2013,1,685.2,45.22,338.96,2.7784,45.22,20,84.61,KPK,35.0,73.0,1200,mountains,1,medium,4,2,3.0,37.3755,low,2,0.8744748
Tank,2013,0,321.24,56.39,136.18,1.1162,56.39,5,25.3,KPK,32.2194,70.3753,262,plains,1,medium,1,2,3.0,49.8205,low,2,0.031741545
Dera Ismail Khan,2013,0,321.24,56.39,136.18,1.1162,56.39,5,25.3,KPK,31.8303,70.9017,173,plains,1,medium,1,2,3.0,61.2507,moderate,3,0.034810316
Mardan,2013,0,707.13,38.88,240.86,1.9743,33.26,11,121.58,KPK,34.1986,72.0404,283,plains,1,medium,1,2,3.0,56.675,moderate,3,0.12205779
Abbottabad,2013,0,955.63,60.95,590.42,4.8395,60.95,32,91.85,KPK,34.1558,73.2194,1256,mountains,0,low,4,1,3.0,14.7839,very_low,1,0.0026470101
Haripur,2013,0,955.63,60.95,590.42,4.8395,60.95,32,91.85,KPK,33.9942,72.9394,580,hills,1,medium,3,2,3.0,86.982,moderate,3,0.006625431
Mansehra,2013,0,868.78,70.06,492.23,4.0347,70.06,30,96.12,KPK,34.3325,73.1975,980,mountains,1,medium,4,2,3.0,61.3594,moderate,3,0.6681341
Battagram,2013,1,868.78,70.06,492.23,4.0347,70.06,30,96.12,KPK,34.68,73.02,830,mountains,1,medium,4,2,3.0,66.6676,moderate,3,0.91173613
Shangla,2013,1,696.98,49.62,280.17,2.2965,49.62,15,84.77,KPK,35.0,72.6,1100,mountains,1,medium,4,2,3.0,34.9404,low,2,0.9575479
Buner,2013,0,780.27,66.68,373.21,3.0591,66.68,17,84.9,KPK,34.51,72.5,750,mountains,1,medium,4,2,3.0,55.8722,moderate,3,0.058827832
Malakand,2013,0,715.68,41.75,244.22,2.0018,41.75,14,103.69,KPK,34.5658,71.9303,850,mountains,1,medium,4,2,3.0,34.4211,low,2,0.36374465
Hangu,2013,0,676.08,40.44,258.66,2.1202,28.77,19,113.73,KPK,33.5286,71.0594,710,hills,0,low,3,1,3.0,9.9224,very_low,1,0.0050473274
Karak,2013,0,552.81,36.61,235.7,1.932,23.98,18,81.66,KPK,33.1172,71.0942,590,hills,0,low,3,1,3.0,9.9397,very_low,1,0.0032069585
Kohat,2013,0,676.08,40.44,258.66,2.1202,28.77,19,113.73,KPK,33.5869,71.4414,518,hills,1,medium,3,2,3.0,46.4544,low,2,0.0054952567
Lakki Marwat,2013,0,418.44,46.95,135.62,1.1116,46.95,6,62.15,KPK,32.6072,70.9125,218,plains,1,medium,1,2,3.0,49.8078,low,2,0.056014657
Bannu,2013,0,576.33,31.44,125.24,1.0266,26.83,5,131.57,KPK,32.9889,70.6006,370,plains,1,medium,1,2,3.0,30.2209,low,2,0.005956535
Kurram,2013,0,785.99,39.52,45.66,0.3743,22.41,1,245.76,KPK,33.8872,70.0989,1800,mountains,1,medium,4,2,3.0,10.1735,very_low,1,0.0044534802
Orakzai,2013,0,721.42,33.96,113.11,0.9271,24.67,4,193.25,KPK,33.6583,70.9333,1400,mountains,0,low,4,1,3.0,3.788,very_low,1,0.0035316867
Khyber,2013,0,717.87,35.75,249.38,2.0441,35.69,12,124.51,KPK,34.1,71.1,1070,mountains,0,low,4,1,3.0,7.3069,very_low,1,0.005355157
Mohmand,2013,0,717.96,39.12,230.88,1.8925,39.12,12,117.21,KPK,34.4,71.2,900,mountains,1,medium,4,2,3.0,31.285,low,2,0.025701214
Bajaur,2013,0,717.96,39.12,230.88,1.8925,39.12,12,117.21,KPK,34.69,71.5,1100,mountains,1,medium,4,2,3.0,28.3012,low,2,0.027833473
South Waziristan,2013,0,422.36,31.98,88.86,0.7284,31.98,4,85.84,KPK,32.3,69.8,1800,mountains,1,medium,4,2,3.0,11.6193,very_low,1,0.009307009
North Waziristan,2013,0,603.31,24.72,69.76,0.5718,17.31,3,165.85,KPK,33.0,70.0,1400,mountains,1,medium,4,2,3.0,10.2374,very_low,1,0.003613719
Torghar,2013,0,685.2,45.22,338.96,2.7784,45.22,20,84.61,KPK,34.9,72.9,2200,mountains,1,medium,4,2,3.0,27.6088,low,2,0.5026845
Kolai Pallas,2013,0,685.2,45.22,338.96,2.7784,45.22,20,84.61,KPK,35.2,73.1,1800,mountains,1,medium,4,2,3.0,30.5212,low,2,0.43414843
Swabi,2013,0,770.87,57.8,397.19,3.2557,57.8,23,83.59,KPK,34.12,72.47,360,plains,1,medium,1,2,3.0,81.7714,moderate,3,0.22738
Tor Ghar,2013,0,685.2,45.22,338.96,2.7784,45.22,20,84.61,KPK,34.85,72.85,2100,mountains,1,medium,4,2,3.0,28.2583,low,2,0.0031116283
Khyber Tribal,2013,0,717.87,35.75,249.38,2.0441,35.69,12,124.51,KPK,34.2,71.0,950,mountains,0,low,4,1,3.0,7.7543,very_low,1,0.0053370176
Quetta,2013,0,193.15,26.73,29.08,0.2384,7.23,2,18.57,Balochistan,30.1798,66.975,1680,mountains,0,low,4,1,4.0,1.8026,very_low,1,0.011047819
Naseerabad,2013,0,189.28,62.55,110.19,0.9032,62.55,4,13.2,Balochistan,28.8775,68.3497,55,plains,1,medium,1,2,4.0,105.4153,high,4,0.21022858
Jaffarabad,2013,0,175.98,79.35,116.22,0.9526,79.35,2,11.99,Balochistan,28.5236,68.1636,58,plains,1,medium,1,2,4.0,120.5195,high,4,0.32566428
Lasbela,2013,0,113.09,13.91,76.21,0.6247,13.91,4,6.37,Balochistan,26.2197,66.6997,36,coastal,0,high,2,3,4.0,39.2318,low,2,0.046844438
Kalat,2013,0,207.34,20.94,67.4,0.5525,20.1,2,9.79,Balochistan,29.0239,66.5903,1920,mountains,0,low,4,1,4.0,1.9466,very_low,1,0.11263303
Khuzdar,2013,0,237.98,18.06,131.99,1.0819,18.06,11,16.3,Balochistan,27.8125,66.6167,1260,mountains,0,low,4,1,4.0,3.712,very_low,1,0.11146782
Turbat,2013,0,61.25,11.53,17.08,0.14,6.16,1,7.4,Balochistan,26.0025,63.0406,152,plains,1,medium,1,2,4.0,11.2562,very_low,1,0.013226513
Gwadar,2013,0,64.07,14.52,15.44,0.1266,5.48,1,10.34,Balochistan,25.1264,62.3256,10,coastal,0,high,2,3,4.0,36.0041,low,2,0.012799362
Panjgur,2013,0,79.58,10.92,25.52,0.2092,9.09,2,6.94,Balochistan,26.9667,64.0833,969,mountains,1,low,4,1,4.0,2.5784,very_low,1,0.053805605
Chagai,2013,0,73.34,21.93,3.75,0.0307,1.02,0,5.8,Balochistan,29.1,64.52,900,mountains,0,low,4,1,4.0,1.5361,very_low,1,0.0022469768
Nushki,2013,0,194.67,20.68,35.54,0.2913,10.3,2,11.97,Balochistan,29.5519,66.0206,1340,mountains,0,low,4,1,4.0,1.7937,very_low,1,0.0019239556
Kharan,2013,0,178.95,15.73,65.28,0.5351,10.26,4,8.66,Balochistan,28.5833,65.4167,900,mountains,0,low,4,1,4.0,2.5528,very_low,1,0.0021730848
Washuk,2013,0,90.12,13.14,26.99,0.2212,9.15,1,7.59,Balochistan,27.5667,64.4667,700,mountains,0,low,4,1,4.0,1.6609,very_low,1,0.0023400546
Awaran,2013,0,92.3,9.08,42.59,0.3491,8.07,1,7.0,Balochistan,26.3597,65.2436,420,mountains,1,medium,4,2,4.0,8.8144,very_low,1,0.057795066
Kech,2013,0,61.25,11.53,17.08,0.14,6.16,1,7.4,Balochistan,26.05,63.05,140,plains,1,medium,1,2,4.0,11.7254,very_low,1,0.013517655
Dera Bugti,2013,0,186.93,58.74,108.88,0.8925,58.74,2,17.28,Balochistan,29.0369,69.1583,180,plains,1,medium,1,2,4.0,55.244,moderate,3,0.28794366
Kohlu,2013,0,181.79,14.59,83.85,0.6873,11.13,7,28.92,Balochistan,29.8942,69.2542,950,mountains,1,low,4,1,4.0,5.8363,very_low,1,0.0033781885
Sibi,2013,0,192.38,32.31,94.77,0.7768,32.31,5,15.92,Balochistan,29.5444,67.8775,133,plains,1,medium,1,2,4.0,44.5694,low,2,0.039538734
Ziarat,2013,0,185.57,29.03,36.97,0.303,6.44,1,21.79,Balochistan,30.3819,67.7264,2449,mountains,0,low,4,1,4.0,1.6514,very_low,1,0.0024172384
Pishin,2013,0,181.57,24.32,19.29,0.1581,4.88,0,23.26,Balochistan,30.5758,66.9953,1580,mountains,0,low,4,1,4.0,1.5144,very_low,1,0.009156249
Qilla Abdullah,2013,0,181.57,24.32,19.29,0.1581,4.88,0,23.26,Balochistan,30.6803,66.5806,1200,mountains,0,low,4,1,4.0,1.7375,very_low,1,0.0020780475
Qilla Saifullah,2013,0,178.27,23.07,58.98,0.4834,6.77,5,22.5,Balochistan,30.7039,68.3508,1550,mountains,0,low,4,1,4.0,2.2606,very_low,1,0.0024526862
Loralai,2013,0,166.63,12.04,69.1,0.5664,8.68,4,30.26,Balochistan,30.3722,68.5917,1390,mountains,0,low,4,1,4.0,1.9182,very_low,1,0.04496978
Musakhel,2013,0,181.41,25.59,88.58,0.7261,11.57,6,35.49,Balochistan,30.0,69.75,1050,mountains,1,low,4,1,4.0,6.9914,very_low,1,0.027833976
Barkhan,2013,0,181.79,14.59,83.85,0.6873,11.13,7,28.92,Balochistan,29.8958,69.5264,1000,mountains,1,low,4,1,4.0,5.6886,very_low,1,0.017267877
Harnai,2013,0,187.01,22.95,75.9,0.6221,14.46,5,19.48,Balochistan,30.1,67.93,1100,mountains,1,low,4,1,4.0,5.9636,very_low,1,0.00890914
Sherani,2013,0,184.11,21.63,76.93,0.6306,21.63,3,23.53,Balochistan,31.05,69.95,1650,mountains,0,low,4,1,4.0,2.3114,very_low,1,0.0027202
Zhob,2013,0,184.88,14.12,57.71,0.473,14.12,4,27.18,Balochistan,31.3436,69.4486,1405,mountains,1,low,4,1,4.0,3.6732,very_low,1,0.003336382
Jhal Magsi,2013,0,204.53,51.24,112.52,0.9223,51.24,4,11.77,Balochistan,28.2808,67.7256,62,plains,1,medium,1,2,4.0,88.6916,moderate,3,0.33012357
Khairpur Tamewali,2013,0,190.61,19.18,119.25,0.9775,19.18,7,5.24,Balochistan,29.5694,72.2403,100,plains,1,medium,1,2,4.0,47.925,low,2,0.0022461538
